,salesprice,calcacres,ENGMeanScaleScore15,median_income,age,totbath,rmtot,rmbed,fixtot,fixhalf,fixaddl,fourthquart,pct_renter_occupied,pct_above_f,pct_below_f,MATHMeanScaleScore15,pct_HSdiploma,log_median_income,sqft,lon,plon,lat,plat,pct_white,pct_black,pct_collegeDegree,median_house_value,HHsize,tract_cover,total_crime_house
1,1550000,0.4757,542.4191419,111140,9,5.5,10,5,23,1,6,0,17.25601132,1,0,555.5377049,100,11.61854595,5498,-84.36383398,0,33.80444611,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
2,849900,0.2117,542.4191419,156150,80,2,6,2,10,0,4,0,19.04761905,1,0,555.5377049,94.17293233,11.95857236,2114,-84.3519946,0,33.78335879,0,82.56997455,4.580152672,86.84210526,533700,2.5,29.07426173,0.063766683
3,585000,0.1848,542.4191419,131389,86,2,5,2,10,0,4,0,28.31632653,0,1,555.5377049,99.57924264,11.78591767,1309,-84.34945539,0,33.79097102,0,98.72881356,1.101694915,83.45021038,623800,2.96,29.07426173,0.059317845
4,522579,0.5895,542.4191419,111140,64,2,7,3,8,0,2,0,17.25601132,0,1,555.5377049,100,11.61854595,2252,-84.35924753,0,33.80223922,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
5,1550000,0.1894,542.4191419,131389,3,4.5,7,4,20,1,6,0,28.31632653,1,0,555.5377049,99.57924264,11.78591767,4100,-84.35376396,0,33.786803,0,98.72881356,1.101694915,83.45021038,623800,2.96,29.07426173,0.063766683
6,560000,0.2674,542.4191419,111140,76,2,5,3,8,0,2,0,17.25601132,0,1,555.5377049,100,11.61854595,1884,-84.35977806,0,33.80292821,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
7,640000,0.2025,542.4191419,160500,68,2,6,3,8,0,2,0,12.21719457,0,0,555.5377049,97.19853837,11.98604922,2079,-84.34977362,0,33.7922799,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.063766683
8,845000,0.2121,542.4191419,156150,76,2,7,2,8,0,2,0,19.04761905,1,0,555.5377049,94.17293233,11.95857236,3200,-84.3490918,0,33.7848481,0,82.56997455,4.580152672,86.84210526,533700,2.5,29.07426173,0.063766683
9,556500,0.1791,542.4191419,131389,91,2,7,3,9,0,3,0,28.31632653,0,1,555.5377049,99.57924264,11.78591767,1936,-84.3516936,0,33.78977727,0,98.72881356,1.101694915,83.45021038,623800,2.96,29.07426173,0.063766683
10,590000,0.2009,542.4191419,131389,89,2,7,3,8,0,2,1,28.31632653,0,1,555.5377049,99.57924264,11.78591767,5211,-84.35168932,0,33.78838282,0,98.72881356,1.101694915,83.45021038,623800,2.96,29.07426173,0.059317845
11,789000,0.5207,542.4191419,160500,86,3,8,4,13,0,4,0,12.21719457,1,0,555.5377049,97.19853837,11.98604922,2200,-84.35741752,0,33.79846909,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.059317845
12,529900,0.212,542.4191419,160500,92,1,7,2,5,0,2,0,12.21719457,0,1,555.5377049,97.19853837,11.98604922,1664,-84.35543085,0,33.79161308,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.063766683
13,537500,0.2321,542.4191419,156150,85,2,10,4,9,0,3,0,19.04761905,0,0,555.5377049,94.17293233,11.95857236,1000,-84.35259317,0,33.7825261,0,82.56997455,4.580152672,86.84210526,533700,2.5,29.07426173,0.063766683
14,1315000,0.1722,542.4191419,156150,86,1,6,2,5,0,2,1,19.04761905,1,0,555.5377049,94.17293233,11.95857236,3890,-84.35362323,0,33.78471137,0,82.56997455,4.580152672,86.84210526,533700,2.5,29.07426173,0.059317845
15,790000,0.154,542.4191419,131389,86,3.5,7,4,13,1,2,1,28.31632653,1,0,555.5377049,99.57924264,11.78591767,2770,-84.35021453,0,33.79004808,0,98.72881356,1.101694915,83.45021038,623800,2.96,29.07426173,0.059317845
16,725000,0.2044,542.4191419,111140,76,3,13,5,14,0,5,0,17.25601132,1,0,555.5377049,100,11.61854595,2876,-84.36137163,0,33.80396248,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
17,1700000,0.3196,542.4191419,131389,86,4.5,8,5,18,1,4,0,28.31632653,1,0,555.5377049,99.57924264,11.78591767,5488,-84.34920768,0,33.78925184,0,98.72881356,1.101694915,83.45021038,623800,2.96,29.07426173,0.059317845
18,770000,0.1755,542.4191419,160500,91,3.5,8,4,15,1,4,1,12.21719457,1,0,555.5377049,97.19853837,11.98604922,2235,-84.3527979,0,33.79369525,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.059317845
19,1415000,0.2316,542.4191419,156150,79,3.5,8,5,17,1,6,1,19.04761905,1,0,555.5377049,94.17293233,11.95857236,4928,-84.35019418,0,33.78473226,0,82.56997455,4.580152672,86.84210526,533700,2.5,29.07426173,0.059317845
20,841000,0.3453,542.4191419,111140,65,2,8,4,8,0,2,1,17.25601132,1,0,555.5377049,100,11.61854595,2654,-84.34898655,0,33.80148613,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
21,537000,0.64,542.4191419,111140,64,2,6,3,8,0,2,1,17.25601132,0,1,555.5377049,100,11.61854595,1980,-84.35194801,0,33.80900254,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
22,790000,0.2643,542.4191419,160500,91,2.5,7,3,10,1,2,0,12.21719457,1,0,555.5377049,97.19853837,11.98604922,2828,-84.35516989,0,33.79500579,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.059317845
23,639000,0.1894,542.4191419,131389,87,1,6,3,7,0,4,0,28.31632653,0,0,555.5377049,99.57924264,11.78591767,1572,-84.35393419,0,33.78729516,0,98.72881356,1.101694915,83.45021038,623800,2.96,29.07426173,0.063766683
24,445000,0.1492,542.4191419,111140,85,2,7,3,6,0,0,1,17.25601132,0,1,555.5377049,100,11.61854595,2268,-84.36325142,0,33.8019046,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
25,825000,0.2716,542.4191419,156150,76,2,7,4,10,0,4,0,19.04761905,1,0,555.5377049,94.17293233,11.95857236,2790,-84.34963179,0,33.78581992,0,82.56997455,4.580152672,86.84210526,533700,2.5,29.07426173,0.063766683
26,643600,0.2865,542.4191419,111140,68,2.5,7,4,10,1,2,0,17.25601132,0,0,555.5377049,100,11.61854595,2385,-84.36016248,0,33.8012398,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.059317845
27,742350,0.2798,542.4191419,111140,34,2.5,6,3,13,1,5,0,17.25601132,1,0,555.5377049,100,11.61854595,2100,-84.36040745,0,33.79940042,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
28,800000,0.2798,542.4191419,131389,85,3,10,4,14,0,5,0,28.31632653,1,0,555.5377049,99.57924264,11.78591767,3460,-84.34920428,0,33.78988923,0,98.72881356,1.101694915,83.45021038,623800,2.96,29.07426173,0.063766683
29,850000,0.228,542.4191419,160500,96,3.5,10,3,15,1,4,0,12.21719457,1,0,555.5377049,97.19853837,11.98604922,2696,-84.35897488,0,33.79804164,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.059317845
30,1295000,0.253,542.4191419,160500,8,4.5,13,4,17,1,3,0,12.21719457,1,0,555.5377049,97.19853837,11.98604922,5147,-84.35414248,0,33.7940857,0,93.4318555,1.888341544,90.13398295,629300,2.76,29.07426173,0.063766683
31,1325000,0.1825,542.4191419,156150,9,3.5,9,4,15,1,4,0,19.04761905,1,0,555.5377049,94.17293233,11.95857236,3936,-84.3516327,0,33.78221956,0,82.56997455,4.580152672,86.84210526,533700,2.5,29.07426173,0.063766683
32,475000,0.5232,542.4191419,111140,63,1,5,2,5,0,2,0,17.25601132,0,1,555.5377049,100,11.61854595,2340,-84.36381321,0,33.80592445,0,93.17470257,0.563556669,80.98891731,664100,2.26,29.07426173,0.063766683
