p1,p2,p3,p4,q1,q2,q3,q4
1.487986207,0.429722756,1.294674516,0.336587131,17.47999763,31.01999664,8.449998856,55.31999207
1.31965816,0.675812304,1.199858189,0.688091338,17.54999733,27.69999886,14.10999966,66.58998871
1.146716356,0.410807848,1.098958373,0.556692481,21.46999359,36.26999283,1.919999838,36.15999603
1.534831405,0.610078275,1.371681452,0.447735697,13.35000134,20.44000244,6.780000687,35.11000443
1.570370317,0.361947238,2.504672766,0.558569372,10.79999828,53.81998825,4.279999256,41.65999222
3.781722784,0.497188359,1.039164543,0.807032943,17.18000031,21.34000015,3.829999924,22.75
1.506459951,0.57194072,1.311764717,0.386564046,23.22000122,41.84000397,3.400000334,62.37000275
3.174157381,0.138810202,2.445783138,1.426829219,1.779999852,10.5899992,0.829999864,4.919999599
1.282778263,0.452574521,1.491823009,0.51224488,14.10999966,3.690000057,0,9.800000191
2.147349596,0.597966731,1.046728969,1.267080784,11.13000011,10.81999969,1.069999933,4.829999924
1.11016953,0.83116883,3.409836054,0.800569773,7.07999897,1.539999843,1.219999909,3.509999514
1.707018614,0.442265123,0.826185107,0.574298441,15.52999783,31.6099968,13.28999805,31.3599987
1.118587017,0.363924056,1.525510192,0.350230396,11.89000034,28.44000244,1.960000038,6.509999752
1.395793438,0.339887649,0.68923074,2.145275116,5.230000496,3.560000181,3.250000238,7.090000629
1.206806302,0.424862713,0.645695388,0.294375002,11.46000004,20.03000069,6.039999485,15.99999905
1.595019698,0.651952446,1.595375657,0.394666672,15.26000023,5.889999866,1.7299999,15.00000095
0.81979692,0.415666908,0.565843582,0.576616526,3.940000296,14.17000198,4.86000061,11.29000092
1.709413409,0.439327955,7.202127457,0.42972818,7.329999924,16.06999969,0.940000057,34.57999802
2.012820482,0.702252686,1.459016442,0.847144008,7.019999504,20.41999817,1.219999909,12.42999935
1.121409893,0.556074739,1.491856694,0.572198272,22.97999573,32.09999466,6.139998913,18.55999565
2.388674259,0.576394498,1.079069734,0.711314499,7.769999981,12.36999989,2.150000095,12.02000046
0.978108585,0.478238612,0.912408769,0.345146805,11.42000103,19.53000259,10.96000099,37.81000519
1.205364347,0.272876889,2.112215996,0.355367243,36.90999222,30.37999535,7.039999008,35.3999939
1.638349533,0.764272571,1.666666627,0.666068103,12.36000156,5.430000782,0.150000036,0
1.506469488,0.838041425,1.240740657,0.78362906,5.410000324,10.62000084,0.540000021,17.47000122
1.326580644,0.264471591,1.111111164,0.485333323,16.29000282,37.66000366,2.700000048,18.75000191
1.176155329,0.847150266,0.974226832,0.675767899,14.93000031,15.43999958,3.880000114,5.860000134
3.203463316,0.975166142,1.662921309,0.569120288,9.240001678,28.59000778,0.890000224,11.14000225
1.049004555,0.287844896,1.233387351,0.561679065,13.05999947,26.81999779,6.169999599,35.01999664
3.632786751,0.686936915,2.1875,1.069767356,3.050000191,8.880001068,0.320000023,1.720000267
4.000894547,0.478260875,1.731511235,0.571635306,11.1799984,15.63999844,6.219998837,13.81999874
1.732240438,0.502837658,1.651041627,0.38075313,3.660000324,17.62000275,1.920000076,14.34000111
1.591085315,0.546391726,0.817337453,0.622222245,5.159999847,2.910000324,3.230000019,19.79999924
1.863934398,0.527451873,1.110714316,0.344408661,12.1999979,21.30999565,2.799999475,68.31999207
1.825000048,0.45062837,1.527075887,0.380536497,4,11.13999939,2.769999981,16.03000069
1.537176251,0.180064306,0.823321521,0.635790527,11.97000027,15.54999924,2.830000162,20.61999893
0.530120492,0.42180562,1.875000119,0.91401273,3.319999933,20.26999855,0.559999943,3.139999866
1.539840698,0.657370508,0.825278819,0.625071228,5.019999981,12.55000019,2.690000057,17.54999924
3.06781745,0.913473427,1.797794223,0.530432224,8.109999657,8.090000153,2.720000029,34.01000214
1.103797436,0.349173576,1.063091516,0.22777456,23.70000076,9.680000305,3.170000076,17.20999908
4.014814854,0.492417366,0.721518934,0.370617688,2.700000048,0,0.790000021,11.9800005
1.846390247,0.683815658,1.416666627,0.330504477,13.02000141,9.329999924,2.760000229,21.2100029
1.959641218,0.461956531,2,1.214778304,13.37999916,25.75999832,0.349999964,10.14999962
1.502857089,0.524970949,0.946236551,0.626447856,5.250000477,8.61000061,2.7900002,10.36000156
1.784810066,0.811932564,3.142857075,0.732441425,7.900001526,7.710001469,0.350000054,5.980000496
1.647410393,0.604972363,1.030050039,0.473118275,10.03999996,10.85999966,5.989999771,22.3200016
1.203773618,0.623104215,0.802356005,0.736842096,13.24999905,30.98999786,7.63999939,13.67999935
1.681747317,0.385640591,1.369369388,0.392940491,6.409999847,23.26000023,1.110000014,34.27999878
1.159977198,1.222383738,0.889999986,0.80228138,35.12999725,6.879999161,2.999999762,21.0399971
1.640869617,0.500185668,0.907407403,0.449047208,11.49999905,26.9299984,2.699999809,12.06999969
0.713646531,0.370546311,0.525368273,0.50392276,8.93999958,25.25999832,6.109999657,16.56999779
1.941272497,0.512010157,2.765799284,0.816542923,6.130000114,7.909999847,2.690000057,9.430000305
1.795644879,0.609022558,2.424107075,0.509721041,5.970000744,6.650000095,2.240000248,11.83000088
1.064532161,0.470718712,0.782115877,0.768493891,60.5900116,45.08000946,15.88000393,18.79000282
